Skill Type,Broad Skill,Skill Name,Cost,Rulebook Cost
Broad,Leadership,Leadership,4,4
Specialty,Leadership,Command,4,4
Specialty,Leadership,Inspire,3,4
Broad,Life Science,Life Science,7,7
Specialty,Life Science,Psionics,3,
Specialty,Life Science,Biology,3,3
Specialty,Life Science,Botany,3,3
Specialty,Life Science,Genetics,3,3
Specialty,Life Science,Zoology,3,3
Broad,Medical Science,Medical Science,7,7
Specialty,Medical Science,Forensics,3,3
Specialty,Medical Science,Medical Knowledge,3,3
Specialty,Medical Science,Psychology,5,3
Specialty,Medical Science,Surgery,5,5
Specialty,Medical Science,Treatment,4,4
Specialty,Medical Science,Xenomedicine,3,
Specialty,Medical Science,Forensic Science,3,
Broad,Melee Combat,Melee Combat,6,
Specialty,Melee Combat,Blade,3,3
Specialty,Melee Combat,Blunt,3,
Specialty,Melee Combat,Defensive Martial Arts,3,5
Specialty,Melee Combat,Power Martial Arts,3,5
Specialty,Melee Combat,Powered,3,
Broad,Modern Ranged Weapons,Modern Ranged Weapons,6,
Specialty,Modern Ranged Weapons,Assault Rifle,3,
Specialty,Modern Ranged Weapons,Pistol,3,4
Specialty,Modern Ranged Weapons,Rifle,3,4
Specialty,Modern Ranged Weapons,SMG,3,4
Specialty,Modern Ranged Weapons,Shotgun,3,
Broad,Navigation,Navigation,6,6
Specialty,Navigation,Astrogation—drivespace,3,
Specialty,Navigation,Astrogation—system,3,
Specialty,Navigation,Navigation—surface,3,
Broad,Physical Science,Physical Science,5,7
Specialty,Physical Science,Astronomy,3,3
Specialty,Physical Science,Chemistry,3,3
Specialty,Physical Science,Physics,3,3
Specialty,Physical Science,Planetology,3,3
Broad,Primitive Ranged Weapons,Primitive Ranged Weapons,7,
Specialty,Primitive Ranged Weapons,Bow,3,4
Specialty,Primitive Ranged Weapons,Crossbow,3,3
Specialty,Primitive Ranged Weapons,Flintlock,3,3
Specialty,Primitive Ranged Weapons,Sling,3,4
Broad,Resolve,Resolve,6,5
Specialty,Resolve,Mental resolve,3,3
Specialty,Resolve,Physical resolve,3,3
Broad,Security,Security,3,5
Specialty,Security,Protection protocols,3,3
Specialty,Security,Security devices,4,3
Broad,Stamina,Stamina,3,
Specialty,Stamina,Endurance,4,4
Specialty,Stamina,Resist pain,5,4
Broad,Street Smart,Street Smart,3,5
Specialty,Street Smart,Street Knowledge,3,3
Specialty,Street Smart,Criminal elements,5,3
Broad,Survival,Survival,3,5
Specialty,Survival,Survival training,3,3
Specialty,Survival,Adaptability,3,
Specialty,Survival,Trailblazing,3,3
Broad,System Operation,System Operation,3,4
Specialty,System Operation,Communications,3,3
Specialty,System Operation,Defenses,3,3
Specialty,System Operation,Engineering,3,3
Specialty,System Operation,Sensors,3,3
Specialty,System Operation,Weapons,3,3
Broad,Tactics,Tactics,6,6
Specialty,Tactics,Infantry tactics,3,3
Specialty,Tactics,Space tactics,3,3
Specialty,Tactics,Vehicle tactics,3,3
Broad,Technical Science,Technical Science,7,7
Specialty,Technical Science,Technical Knowledge,3,3
Specialty,Technical Science,Invention,3,4
Specialty,Technical Science,Repair,3,3
Specialty,Technical Science,Juryrig,3,3
Broad,Vehicle Operation,Vehicle Operation,3,3
Specialty,Vehicle Operation,Air vehicle,5,5
Specialty,Vehicle Operation,Land vehicle,3,3
Specialty,Vehicle Operation,Space vehicle,5,5
Specialty,Vehicle Operation,Water vehicle,3,3
