Alternity RPG - Skills Summary (Broad and Specialty)
=====================================================

Broad Skills can generally be used untrained (at a +1 step penalty to the Ability check) unless marked as "NO".
Specialty Skills can generally be attempted if you have the parent Broad Skill (defaulting at a +1 step penalty) unless marked as "NO" (Trained Only).

----------------------------------------------------------------------
Skill Name                          | Attribute | Untrained (Can use?)
  Botany                            | INT       | NO (Trained Only)
  Genetics                          | INT       | NO (Trained Only)
  Xenology                          | INT       | NO (Trained Only)
  Zoology                           | INT       | NO (Trained Only)
Medical Science                     | INT       | NO (Trained Only)
  Forensics                         | INT       | NO (Trained Only)
  Medical Knowledge                 | INT       | NO (Trained Only)
  Psychology                        | INT       | NO (Trained Only)
  Surgery                           | INT       | NO (Trained Only)
  Treatment                         | INT       | NO (Trained Only)
  Xenomedicine                      | INT       | NO (Trained Only)
Navigation                          | INT       | YES
  Astrogation—drivespace            | INT       | NO (Trained Only)
  Astrogation—system                | INT       | NO (Trained Only)
  Navigation—surface                | INT       | YES
Physical Science                    | INT       | YES
  Astronomy                         | INT       | NO (Trained Only)
  Chemistry                         | INT       | NO (Trained Only)
  Physics                           | INT       | NO (Trained Only)
  Planetology                       | INT       | NO (Trained Only)
Security                            | INT       | YES
  Protection protocols              | INT       | YES
  Security devices                  | INT       | YES
System Operation                    | INT       | YES
  Communications                    | INT       | YES
  Defenses                          | INT       | YES
  Engineering                       | INT       | YES
  Sensors                           | INT       | YES
  Weapons                           | INT       | YES
Tactics                             | INT       | YES
  Infantry tactics                  | INT       | YES
  Space tactics                     | INT       | YES
  Vehicle tactics                   | INT       | YES
Technical Science                   | INT       | YES
  Invention                         | INT       | NO (Trained Only)
  Jury-rig                          | INT       | NO (Trained Only)
  Repair                            | INT       | NO (Trained Only)
  Technical Knowledge               | INT       | NO (Trained Only)
Knowledge                           | INT       | YES
  Computer Operation                | INT       | NO (Trained Only)
  Deduce                            | INT       | YES
  First Aid                         | INT       | NO (Trained Only)
  Language                          | INT       | NO (Trained Only)

=== Willpower Skills (WIL) ===
Animal Handling                     | WIL       | YES
  Animal riding                     | WIL       | YES
  Animal training                   | WIL       | YES
Awareness                           | WIL       | YES
  Intuition                         | WIL       | YES
  Perception                        | WIL       | YES
  Psionic Sense                     | WIL       | NO (Trained Only)
Resolve                             | WIL       | YES
  Mental resolve                    | WIL       | YES
  Physical resolve                  | WIL       | YES
Investigate                         | WIL       | YES
  Interrogate                       | WIL       | YES
  Search                            | WIL       | YES
  Track                             | WIL       | YES
Street Smart                        | WIL       | YES
  Criminal elements                 | WIL       | YES
  Street knowledge                  | WIL       | YES
Teach                               | WIL       | YES
  Specific field                    | WIL       | NO (Trained Only)

=== Psionics (Broad Skills: NO / Specialties: NO) ===
Biokinesis                          | WIL       | NO (Trained Only)
ESP                                 | WIL       | NO (Trained Only)
Telekinesis                         | WIL       | NO (Trained Only)
Telepathy                           | WIL       | NO (Trained Only)
Teleportation                       | WIL       | NO (Trained Only)

=== Personality Skills (PER) ===
Culture                             | PER       | YES
  Diplomacy                         | PER       | YES
  Etiquette                         | PER       | NO (Trained Only)
  First Encounter                   | PER       | NO (Trained Only)
Deception                           | PER       | YES
  Bluff                             | PER       | YES
  Bribe                             | PER       | YES
  Gamble                            | PER       | YES
Entertainment                       | PER       | YES
  Act                               | PER       | YES
  Dance                             | PER       | YES
  Musical instrument                | PER       | NO (Trained Only)
Leadership                          | PER       | YES
  Command                           | PER       | YES
  Inspire                           | PER       | NO (Trained Only)
Interaction                         | PER       | YES
  Bargain                           | PER       | YES
  Charm                             | PER       | YES
  Interview                         | PER       | YES
  Intimidate                        | PER       | YES
  Seduce                            | PER       | YES
  Taunt                             | PER       | YES
